date,aapl_open,aapl_high,aapl_low,aapl_close,aapl_volume,vxapl_open,vxapl_high,vxapl_low,vxapl_close,vix_open,vix_high,vix_low,vix_close,vix9d_open,vix9d_high,vix9d_low,vix9d_close,earnings_flag,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,source_ids
2014-04-28,17.95400684,18.67335831,17.94616934,18.62132645,669485600,21.04,22.97,20.64,22.97,14.27,15.28,13.82,13.97,14.33,16.48,13.87,14.08,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-29,18.61034477,18.68055586,18.47775841,18.56614876,337377600,23.11,23.18,21.53,21.65,13.88,14.24,13.61,13.71,13.89,14.64,13.39,13.63,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-30,18.57586963,18.78869751,18.48685153,18.49594116,456640800,21.71,22.16,21.27,21.45,14.05,14.18,13.34,13.41,14.1,14.37,12.63,12.73,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-01,18.55581036,18.64357466,18.37902962,18.53951263,244048000,21.54,21.78,20.86,20.86,13.64,13.75,13.1,13.25,12.88,13.08,11.93,12.58,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-02,18.56646874,18.62476959,18.48403267,18.57398987,191514400,20.95,20.99,20.32,20.48,13.15,13.5,12.83,12.91,12.32,12.66,11.19,11.23,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-05,18.49750731,18.83790632,18.49311817,18.83665085,287067200,21.25,21.79,20.7,21.76,13.95,14.2,13.08,13.29,13.42,13.78,11.93,12.25,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-06,18.86298855,18.94479691,18.63135529,18.63135529,374564400,21.81,21.98,20.8,20.85,13.65,13.9,13.28,13.8,12.83,13.23,12.13,13.19,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-07,18.65767444,18.72161653,18.42196518,18.56614876,282864400,20.98,21.37,20.84,20.84,13.64,14.49,13.39,13.4,12.7,14.39,12.53,12.82,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-08,18.54125445,18.73541469,18.48294443,18.53306007,230297200,20.93,21.01,19.47,19.49,13.69,13.88,12.92,13.43,13.03,13.26,12.01,12.51,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-09,18.42431338,18.47821141,18.29161603,18.45583344,291597600,19.52,19.94,19.52,19.52,13.55,14.03,12.87,12.92,12.61,13.34,11.06,11.17,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-12,18.51729691,18.7117702,18.51445884,18.68560982,213208800,20.49,20.5,19.26,19.27,12.46,12.58,11.88,12.23,11.61,11.87,10.98,11.2,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-13,18.65945213,18.73951058,18.61847857,18.71492577,159737200,19.44,19.48,17.96,17.96,12.36,12.74,12.05,12.13,11.35,11.41,10.5,10.75,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-14,18.67300992,18.8296609,18.65126149,18.71839714,166404000,18.15,18.99,17.99,18.84,12.42,12.51,12.03,12.17,10.88,11.51,10.44,11.16,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-15,18.74455012,18.80443571,18.53463074,18.55921555,230846000,18.95,19.21,18.68,18.83,12.73,13.77,12.72,13.17,11.38,14.09,11.38,13.35,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-16,18.55323478,18.83375754,18.45142789,18.83312798,276256400,18.95,19.79,18.65,19.63,13.31,13.66,12.26,12.44,12.62,13.78,10.95,11.0,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-19,18.84383534,19.14263876,18.82744491,19.05627632,317755200,20.33,21.35,19.97,20.18,13.17,13.21,12.28,12.42,12.5,12.61,10.96,11.01,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-20,19.0537584,19.11332921,18.93461508,19.06006241,234836000,20.26,20.64,20.07,20.08,12.69,13.3,12.32,12.96,11.24,12.73,10.91,12.21,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-21,19.03232273,19.12278236,18.97653433,19.1104908,196859600,20.12,20.22,19.35,19.37,12.38,12.46,11.8,11.91,11.18,11.42,10.43,10.47,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-22,19.11963561,19.22207373,19.04083796,19.14075279,200760000,19.5,19.99,19.41,19.93,11.93,12.09,11.68,12.03,10.39,10.86,9.97,10.27,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-23,19.14012066,19.37588569,19.11553585,19.35697365,232209600,20.01,20.07,19.4,19.96,11.96,11.97,11.36,11.36,10.42,10.55,9.47,9.49,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-27,19.41213188,19.72669453,19.40425229,19.71944618,348866000,20.76,22.63,20.76,21.63,11.69,11.84,11.5,11.51,10.95,11.43,10.56,10.65,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-28,19.73173586,19.85182518,19.66113261,19.66838264,315481600,21.75,22.41,21.43,22.21,11.6,11.86,11.5,11.68,10.81,11.2,10.46,10.58,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-29,19.7894176,20.07372267,19.78689599,20.02675819,376474000,22.31,23.69,22.31,23.36,11.58,11.82,11.41,11.57,10.45,10.9,10.31,10.31,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-05-30,20.10870787,20.30381241,19.82251245,19.95174217,564020800,23.61,24.98,23.61,24.65,11.66,11.7,11.32,11.4,10.43,10.58,9.72,9.73,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-02,19.98200291,20.0094241,19.62079057,19.81463432,369350800,25.22,25.5,22.42,22.42,11.69,12.17,11.29,11.58,10.57,11.34,9.91,10.47,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-03,19.8086418,20.13266126,19.80202301,20.09483719,292709200,22.42,22.42,21.49,21.79,12.03,12.13,11.72,11.87,10.82,11.13,10.16,11.01,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-04,20.0916886,20.42106609,20.04976734,20.32430077,335482000,21.83,24.68,21.83,23.88,12.15,12.33,11.91,12.08,11.29,11.74,11.13,11.59,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-05,20.3678021,20.46771862,20.254648,20.40404892,303805600,24.08,24.88,24.03,24.49,12.09,12.34,11.44,11.68,11.52,11.85,10.38,10.88,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-06,20.48441829,20.52728558,20.313269,20.34793854,349938400,24.64,25.24,24.26,24.35,11.32,11.39,10.73,10.73,9.94,10.15,9.25,9.25,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-09,20.4529009,20.71325074,20.24329794,20.6735363,301660000,24.56,24.56,21.64,21.89,11.23,11.51,10.99,11.15,10.48,10.54,9.75,9.77,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-10,20.9007952,20.97139847,20.64485729,20.79488945,251108000,22.02,22.75,21.75,21.86,11.3,11.66,10.93,10.99,10.22,10.45,9.46,9.52,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-11,20.76841215,20.90741354,20.62279364,20.70884132,182724000,22.11,22.11,20.98,21.4,11.42,11.87,11.19,11.6,10.23,10.6,9.84,10.45,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-12,20.74855592,20.76620716,20.27639624,20.36244392,218996000,21.51,21.63,20.67,21.52,11.81,12.81,11.71,12.56,10.63,12.51,10.5,11.99,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-13,20.34258301,20.39553672,20.05134435,20.13959885,218100000,21.63,21.91,21.4,21.91,12.45,12.69,11.89,12.18,11.9,12.23,11.39,11.48,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-16,20.19034543,20.46393284,20.17710616,20.3425827,142244000,21.93,21.93,21.04,21.17,12.65,12.87,12.28,12.65,12.98,13.15,12.09,12.54,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-17,20.3668539,20.45290158,20.25433106,20.3161087,118904000,21.54,22.0,21.38,21.53,12.81,12.89,12.06,12.06,12.78,12.93,12.05,12.68,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-06-18,20.35802356,20.36243721,20.15503944,20.33816719,134056000,21.9,22.22,20.62,20.62,11.8,11.91,10.57,10.61,12.86,12.9,10.5,10.55,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
