as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2017-03-27,2.0,0.01918176409801889,0.3,-0.5,0.01918176409801889,0.07325852074128732,heston,2015-03-27,2017-03-27,503,0.0,False
2017-04-03,2.0,0.019070669736164194,0.3,-0.5,0.019070669736164194,0.07179303534551261,heston,2015-04-06,2017-04-03,503,0.0,False
2017-04-10,2.0,0.019037211028875217,0.3,-0.5,0.019037211028875217,0.06876941451964161,heston,2015-04-13,2017-04-10,503,0.0,False
2017-04-17,2.0,0.01902831628006811,0.3,-0.5,0.01902831628006811,0.0698620884047145,heston,2015-04-17,2017-04-17,503,0.0,False
2017-04-24,2.0,0.019074034189679328,0.3,-0.5,0.019074034189679328,0.0665720263397874,heston,2015-04-24,2017-04-24,503,0.0,False
2017-05-01,2.0,0.01896290887900432,0.3,-0.5,0.01896290887900432,0.07190205717120268,heston,2015-05-01,2017-05-01,503,0.0,False
2017-05-08,2.0,0.018799176769651458,0.3,-0.5,0.018799176769651458,0.07173779469127788,heston,2015-05-08,2017-05-08,503,0.0,False
2017-05-15,2.0,0.01874958173165417,0.3,-0.5,0.01874958173165417,0.07111155804561359,heston,2015-05-15,2017-05-15,503,0.0,False
2017-05-22,2.0,0.018942147814347127,0.3,-0.5,0.018942147814347127,0.06828361767266847,heston,2015-05-22,2017-05-22,503,0.0,False
2017-05-30,2.0,0.01882974071561852,0.3,-0.5,0.01882974071561852,0.07570317482012559,heston,2015-06-01,2017-05-30,503,0.0,False
2017-06-05,2.0,0.01882013300901065,0.3,-0.5,0.01882013300901065,0.08511805498541203,heston,2015-06-05,2017-06-05,503,0.0,False
2017-06-12,2.0,0.01870410426451471,0.3,-0.5,0.01870410426451471,0.08319189970615552,heston,2015-06-12,2017-06-12,503,0.0,False
2017-06-19,2.0,0.018641039917110077,0.3,-0.5,0.018641039917110077,0.08392466292501954,heston,2015-06-19,2017-06-19,503,0.0,False
2017-06-26,2.0,0.018620656563632654,0.3,-0.5,0.018620656563632654,0.08345951324088977,heston,2015-06-26,2017-06-26,503,0.0,False
2017-07-03,2.0,0.018468306142918917,0.3,-0.5,0.018468306142918917,0.08861159693175259,heston,2015-07-06,2017-07-03,503,0.0,False
2017-07-10,2.0,0.01829217212190727,0.3,-0.5,0.01829217212190727,0.08701585691281255,heston,2015-07-10,2017-07-10,503,0.0,False
2017-07-17,2.0,0.018233756951830906,0.3,-0.5,0.018233756951830906,0.08154622403158149,heston,2015-07-17,2017-07-17,503,0.0,False
2017-07-24,2.0,0.018160501575205285,0.3,-0.5,0.018160501575205285,0.09481097459193152,heston,2015-07-24,2017-07-24,503,0.0,False
2017-07-31,2.0,0.018052068350262847,0.3,-0.5,0.018052068350262847,0.08866959491538641,heston,2015-07-31,2017-07-31,503,0.0,False
2017-08-07,2.0,0.01800553868648298,0.3,-0.5,0.01800553868648298,0.09698070323097845,heston,2015-08-07,2017-08-07,503,0.0,False
2017-08-14,2.0,0.01803610601404927,0.3,-0.5,0.01803610601404927,0.09077148583116443,heston,2015-08-14,2017-08-14,503,0.0,False
