date,equity,cash,stock_shares,stock_value,option_value,open_positions,unrealized_pnl,realized_pnl,hedge_pnl,cumulative_commissions,cumulative_slippage,drawdown,equity_peak
2023-01-23,976740.8250119996,1052664.2950119996,-45,-18028.35,-57895.119999999995,3,-1050.9199999999946,-21239.995000000043,17180.29500600002,1715.9999999999998,3549.3574939999753,-0.023259174988000453,1000000.0
2023-01-24,976760.1750119996,1052664.2950119996,-45,-18009.0,-57895.119999999995,3,-1050.9199999999946,-21239.995000000043,17180.29500600002,1715.9999999999998,3549.3574939999753,-0.02323982498800048,1000000.0
2023-01-25,976753.4250119996,1052664.2950119996,-45,-18015.75,-57895.119999999995,3,-1050.9199999999946,-21239.995000000043,17180.29500600002,1715.9999999999998,3549.3574939999753,-0.023246574988000424,1000000.0
2023-01-26,976555.4250119996,1052664.2950119996,-45,-18213.75,-57895.119999999995,3,-1050.9199999999946,-21239.995000000043,17180.29500600002,1715.9999999999998,3549.3574939999753,-0.023444574988000455,1000000.0
2023-01-27,976089.8588999996,1057824.5788999996,-112,-45436.16,-36298.56,2,-632.6399999999958,-22076.555000000044,44358.136950000015,1757.5999999999997,3614.855549999976,-0.023910141100000337,1000000.0
2023-01-30,976297.3287299997,1103382.3237299996,-177,-70904.43,-56180.565,3,-990.0424999999923,-22076.555000000044,70393.88311500002,1791.3999999999996,3671.3931349999752,-0.023702671270000253,1000000.0
2023-01-31,975254.7987299997,1103382.3237299996,-177,-71946.96,-56180.565,3,-990.0424999999923,-22076.555000000044,70393.88311500002,1791.3999999999996,3671.3931349999752,-0.02474520127000035,1000000.0
2023-02-01,974178.5820899996,1062880.1070899996,-123,-50528.4,-38173.125,2,-682.9024999999965,-22690.83500000005,48208.46479500002,1822.5999999999997,3719.6014549999763,-0.025821417910000477,1000000.0
2023-02-02,973443.0420899997,1062880.1070899996,-123,-51263.939999999995,-38173.125,2,-682.9024999999965,-22690.83500000005,48208.46479500002,1822.5999999999997,3719.6014549999763,-0.026556957910000345,1000000.0
2023-02-03,973987.9320899996,1062880.1070899996,-123,-50719.05,-38173.125,2,-682.9024999999965,-22690.83500000005,48208.46479500002,1822.5999999999997,3719.6014549999763,-0.026012067910000436,1000000.0
2023-02-06,974297.8920899996,1062880.1070899996,-123,-50409.09,-38173.125,2,-682.9024999999965,-22690.83500000005,48208.46479500002,1822.5999999999997,3719.6014549999763,-0.025702107910000382,1000000.0
2023-02-07,972896.2537639996,1012276.7237639995,4,1660.76,-41041.229999999996,2,-763.7149999999965,-23341.835000000046,-4525.938117999976,1892.7999999999997,3835.143117999975,-0.027103746236000426,1000000.0
2023-02-08,972878.0937639995,1012276.7237639995,4,1642.6,-41041.229999999996,2,-763.7149999999965,-23341.835000000046,-4525.938117999976,1892.7999999999997,3835.143117999975,-0.027121906236000526,1000000.0
2023-02-09,972099.8130919996,972099.8130919996,0,0.0,0.0,0,0.0,-24869.265000000047,-2897.740953999976,1965.5999999999997,3950.4584539999746,-0.027900186908000335,1000000.0
2023-02-10,972099.8130919996,972099.8130919996,0,0.0,0.0,0,0.0,-24869.265000000047,-2897.740953999976,1965.5999999999997,3950.4584539999746,-0.027900186908000335,1000000.0
2023-02-13,972099.8130919996,972099.8130919996,0,0.0,0.0,0,0.0,-24869.265000000047,-2897.740953999976,1965.5999999999997,3950.4584539999746,-0.027900186908000335,1000000.0
2023-02-14,971814.9635839997,922629.9585839997,161,66435.04,-17250.035,1,-271.5625,-24869.265000000047,-69339.42445799998,1994.1999999999996,3997.5957079999766,-0.028185036416000342,1000000.0
2023-02-15,972030.7035839997,922629.9585839997,161,66650.78,-17250.035,1,-271.5625,-24869.265000000047,-69339.42445799998,1994.1999999999996,3997.5957079999766,-0.027969296416000322,1000000.0
2023-02-16,970828.2944679996,970828.2944679996,0,0.0,0.0,0,0.0,-25412.390000000043,-3612.917765999984,2022.7999999999995,4044.662765999973,-0.029171705532000436,1000000.0
2023-02-17,970828.2944679996,970828.2944679996,0,0.0,0.0,0,0.0,-25412.390000000043,-3612.917765999984,2022.7999999999995,4044.662765999973,-0.029171705532000436,1000000.0
2023-02-21,970753.2069679997,959477.7819679996,0,0.0,11275.425,1,-75.08749999999964,-25412.390000000043,-3612.917765999984,2029.2999999999995,4056.094015999973,-0.029246793032000284,1000000.0
2023-02-22,970753.2069679997,959477.7819679996,0,0.0,11275.425,1,-75.08749999999964,-25412.390000000043,-3612.917765999984,2029.2999999999995,4056.094015999973,-0.029246793032000284,1000000.0
2023-02-23,970753.2069679997,959477.7819679996,0,0.0,11275.425,1,-75.08749999999964,-25412.390000000043,-3612.917765999984,2029.2999999999995,4056.094015999973,-0.029246793032000284,1000000.0
2023-02-24,970753.2069679997,959477.7819679996,0,0.0,11275.425,1,-75.08749999999964,-25412.390000000043,-3612.917765999984,2029.2999999999995,4056.094015999973,-0.029246793032000284,1000000.0
2023-02-27,970676.0728339995,980538.7678339996,-79,-31420.670000000002,21557.975,2,-145.93749999999818,-25412.390000000043,27804.61016700002,2035.7999999999995,4069.9610829999706,-0.02932392716600052,1000000.0
